model,img_size,param_count_m,gmacs,ms_batch1_cpu
poolformerv2_s36,224,30.79,5.01,20.527
vit_medium_patch16_clip_224,224,38.59,8.0,20.539
vit_relpos_medium_patch16_224,224,38.75,7.97,20.561
rexnetr_300,288,34.81,5.59,20.671
cs3sedarknet_l,256,21.91,4.86,20.723
gcvit_xxtiny,224,12.0,2.14,20.748
davit_tiny,224,28.36,4.54,20.778
lamhalobotnet50ts_256,256,22.57,5.02,20.812
convnext_nano_ols,288,15.65,4.38,20.929
convnextv2_pico,288,9.07,2.27,21.008
gc_efficientnetv2_rw_t,224,13.68,1.94,21.07
coatnet_0_rw_224,224,27.44,4.43,21.079
hgnet_small,288,24.36,14.09,21.08
regnety_040_sgn,224,20.65,4.03,21.142
coatnet_0_224,224,25.04,4.58,21.147
efficientnet_b3,320,12.23,2.01,21.147
regnetv_040,288,20.64,6.6,21.15
swinv2_cr_tiny_ns_224,224,28.33,4.66,21.152
resnest50d_4s2x40d,224,30.42,4.4,21.189
maxvit_nano_rw_256,256,15.45,4.46,21.214
resnetv2_50,288,25.55,6.79,21.228
cspresnet50d,256,21.64,4.86,21.355
resnet61q,288,36.85,9.87,21.373
swinv2_cr_tiny_224,224,28.33,4.66,21.377
coatnet_nano_rw_224,224,15.14,2.41,21.383
regnety_080_tv,224,39.38,8.51,21.397
cspresnet50,256,21.62,4.54,21.408
regnety_080,224,39.18,8.0,21.415
crossvit_18_240,240,43.27,9.05,21.449
efficientnetv2_rw_t,288,13.65,3.19,21.496
ecaresnet50t,288,25.57,7.14,21.552
resnet101,160,44.55,4.0,21.558
tf_efficientnet_b3,300,12.23,1.87,21.641
legacy_xception,299,22.86,8.4,21.647
mobilenetv4_conv_aa_large,384,32.59,7.07,21.66
swin_tiny_patch4_window7_224,224,28.29,4.51,21.667
coatnet_rmlp_nano_rw_224,224,15.15,2.62,21.738
vit_medium_patch16_gap_256,256,38.86,10.59,21.84
seresnet50,288,28.09,6.8,21.898
regnety_064,224,30.58,6.39,21.905
fastvit_sa24,256,21.55,3.8,21.931
mobileone_s0,224,5.29,1.09,21.974
seresnet50t,288,28.1,7.14,21.971
efficientvit_l1,224,52.65,5.27,21.98
dla102,224,33.27,7.19,22.05
mixer_b16_224,224,59.88,12.62,22.231
tresnet_m,224,31.39,5.75,22.24
convnext_nano,288,15.59,4.06,22.252
levit_512d,224,92.5,5.85,22.297
tf_mixnet_m,224,5.01,0.36,22.372
poolformer_s36,224,30.86,5.0,22.427
resnet101,176,44.55,4.92,22.453
hiera_small_abswin_256,256,34.36,8.29,22.521
efficientformerv2_s2,224,12.71,1.27,22.612
levit_512,224,95.17,5.64,22.633
ecaresnet50t,320,25.57,8.82,22.639
coatnet_rmlp_0_rw_224,224,27.45,4.72,22.643
regnetv_064,224,30.58,6.39,22.658
nf_regnet_b3,288,18.59,1.67,22.703
ese_vovnet39b_evos,224,24.58,7.07,22.734
regnetz_d8,256,23.37,3.97,22.743
mixnet_m,224,5.01,0.36,22.776
maxxvitv2_nano_rw_256,256,23.7,6.26,22.829
xcit_tiny_24_p16_224,224,12.12,2.34,22.97
inception_v3,299,23.83,5.73,22.986
mobilenetv4_conv_large,448,32.59,8.75,23.016
cs3sedarknet_l,288,21.91,6.16,23.047
mvitv2_tiny,224,24.17,4.7,23.162
mobilevitv2_150,384,10.59,9.2,23.163
gcresnet50t,256,25.9,5.42,23.17
halonet50ts,256,22.73,5.3,23.191
convnextv2_tiny,288,28.64,7.39,23.27
hieradet_small,256,34.72,8.51,23.331
resnext101_32x4d,224,44.18,8.01,23.4
darknetaa53,256,36.02,7.97,23.407
regnetx_120,224,46.11,12.13,23.416
xception41p,299,26.91,9.25,23.471
crossvit_18_dagger_240,240,44.27,9.5,23.491
densenetblur121d,224,8.0,3.11,23.584
cs3sedarknet_xdw,256,21.6,5.97,23.645
regnetz_c16_evos,320,13.49,3.86,23.833
maxxvit_rmlp_nano_rw_256,256,16.78,4.37,23.848
vit_small_r26_s32_224,224,36.43,3.56,23.884
nf_regnet_b3,320,18.59,2.05,23.893
tf_mixnet_l,224,7.33,0.58,23.924
xcit_nano_12_p8_384,384,3.05,6.34,24.039
densenet121,224,7.98,2.87,24.095
gc_efficientnetv2_rw_t,288,13.68,3.2,24.127
dpn92,224,37.67,6.54,24.158
coat_lite_small,224,19.84,3.96,24.326
efficientnetv2_s,288,21.46,4.75,24.333
mobilenetv4_conv_aa_large,448,32.59,9.63,24.396
regnetz_040,256,27.12,4.06,24.423
ecaresnet101d_pruned,224,24.88,3.48,24.468
maxvit_rmlp_nano_rw_256,256,15.5,4.47,24.507
regnetz_d8_evos,256,23.46,4.5,24.507
efficientnet_b0_gn,224,5.29,0.42,24.511
botnet50ts_256,256,22.74,5.54,24.554
seresnetaa50d,288,28.11,8.92,24.622
regnetz_040_h,256,28.94,4.12,24.64
convformer_s18,224,26.77,3.96,24.655
cspresnet50w,256,28.12,5.04,24.69
convnext_tiny_hnf,224,28.59,4.47,24.711
xception41,299,26.97,9.28,24.765
gcresnet50t,288,25.9,6.86,24.775
focalnet_tiny_srf,224,28.43,4.42,24.806
coatnext_nano_rw_224,224,14.7,2.47,24.856
gcvit_xtiny,224,19.98,2.93,24.927
efficientnet_b3_gn,288,11.73,1.74,25.025
mixnet_l,224,7.33,0.58,25.13
twins_pcpvt_base,224,43.83,6.68,25.15
cs3darknet_x,256,35.05,8.38,25.205
darknetaa53,288,36.02,10.08,25.247
resmlp_36_224,224,44.69,8.91,25.262
efficientnet_b0_g8_gn,224,6.56,0.66,25.332
res2net50_14w_8s,224,25.06,4.21,25.381
cs3darknet_focus_x,256,35.02,8.03,25.428
vit_base_resnet26d_224,224,101.4,6.97,25.441
tf_efficientnetv2_s,300,21.46,5.35,25.472
resnet50_gn,224,25.56,4.14,25.474
levit_conv_512,224,95.17,5.64,25.542
hrnet_w18_small_v2,224,15.6,2.62,25.592
hiera_base_224,224,51.52,9.4,25.755
regnetz_d32,256,27.58,5.98,25.776
repvit_m1_5,224,14.64,2.31,25.781
ecaresnet101d_pruned,288,24.88,5.75,25.803
efficientnetv2_rw_s,288,23.94,4.91,25.887
eca_nfnet_l0,224,24.14,4.35,25.896
regnety_040_sgn,288,20.65,6.67,25.92
convnext_tiny,384,28.59,13.14,25.972
darknet53,256,41.61,9.31,25.996
resnet101c,224,44.57,8.08,26.009
resnet101d,224,44.57,8.08,26.031
levit_conv_512d,224,92.5,5.85,26.101
efficientnet_b4,320,19.34,3.13,26.128
vit_medium_patch16_reg1_gap_256,256,38.88,10.63,26.156
cait_xxs36_224,224,17.3,3.77,26.236
resnetv2_101,224,44.54,7.83,26.313
resnet101,224,44.55,7.83,26.325
vit_medium_patch16_reg4_gap_256,256,38.88,10.76,26.362
mobilenetv4_conv_aa_large,480,32.59,11.05,26.401
vit_base_patch32_384,384,88.3,13.06,26.406
resnetv2_50d_gn,224,25.57,4.38,26.412
dla102x2,224,41.28,9.34,26.469
nf_ecaresnet50,224,25.56,4.21,26.55
resnetv2_101d,224,44.56,8.07,26.654
regnety_080,288,39.18,13.22,26.802
vit_betwixt_patch16_reg4_gap_256,256,60.4,16.52,26.811
xcit_tiny_24_p16_384,384,12.12,6.87,26.819
resnet101s,224,44.67,9.19,26.85
resnet101_clip_gap,224,42.52,9.11,26.866
vit_betwixt_patch16_reg1_gap_256,256,60.4,16.32,26.887
regnety_120,224,51.82,12.14,26.958
resnetaa101d,224,44.57,9.12,26.988
vit_base_patch32_clip_384,384,88.3,13.06,27.038
focalnet_tiny_lrf,224,28.65,4.49,27.146
regnety_064,288,30.58,10.56,27.234
resnetblur101d,224,44.57,9.12,27.233
swinv2_tiny_window8_256,256,28.35,5.96,27.255
efficientvit_b3,256,48.65,5.2,27.272
vit_small_resnet50d_s16_224,224,57.53,13.48,27.293
convnextv2_nano,288,15.62,4.06,27.35
hgnetv2_b5,224,39.57,6.56,27.528
nfnet_l0,224,35.07,4.36,27.529
efficientnet_b3_g8_gn,288,14.25,2.59,27.606
res2net50_26w_6s,224,37.05,6.33,27.623
efficientvit_b3,224,48.65,3.99,27.679
resnet50_gn,288,25.56,6.85,27.705
mobilevitv2_175,384,14.25,12.47,27.718
resnetv2_50d_evos,224,25.59,4.33,27.757
vit_medium_patch16_rope_reg1_gap_256,256,38.74,10.63,27.875
selecsls60,224,30.67,3.59,28.033
darknet53,288,41.61,11.78,28.085
vit_betwixt_patch16_rope_reg4_gap_256,256,60.23,16.52,28.145
nf_seresnet50,224,28.09,4.21,28.358
resnet101d,256,44.57,10.55,28.36
regnetx_160,224,54.28,15.99,28.416
efficientnet_b3_gn,320,11.73,2.14,28.544
vit_base_patch16_xp_224,224,86.51,17.56,28.679
cs3darknet_x,288,35.05,10.6,28.698
efficientvit_l2,224,63.71,6.97,28.728
resnext101_32x4d,288,44.18,13.24,28.749
efficientvit_l2,256,63.71,9.09,28.768
convnext_small,224,50.22,8.71,28.78
ecaresnet101d,224,44.57,8.08,28.782
nextvit_base,224,44.82,8.29,28.806
densenet121,288,7.98,4.74,28.829
regnetv_064,288,30.58,10.55,28.905
seresnext101_32x4d,224,48.96,8.02,28.956
nf_resnet50,256,25.56,5.46,28.98
resnetrs101,192,63.62,6.04,28.999
legacy_seresnext101_32x4d,224,48.96,8.02,29.022
maxvit_tiny_rw_224,224,29.06,5.11,29.1
repvgg_b1g4,224,39.97,8.15,29.124
vit_base_patch16_gap_224,224,86.57,17.49,29.258
efficientvit_b3,288,48.65,6.58,29.309
halo2botnet50ts_256,256,22.64,5.02,29.351
selecsls42,224,30.35,2.94,29.496
eca_nfnet_l0,288,24.14,7.12,29.569
vit_base_patch16_siglip_gap_224,224,85.8,17.49,29.618
resnet101_clip,224,56.26,9.81,29.656
resnet152,160,60.19,5.9,29.847
deit3_small_patch16_384,384,22.21,15.52,29.906
mobilenetv4_hybrid_large,384,37.76,7.77,29.94
regnetz_040_h,320,28.94,6.43,30.017
xcit_tiny_24_p8_224,224,12.11,9.21,30.048
densenetblur121d,288,8.0,5.14,30.063
densenet169,224,14.15,3.4,30.075
resnet101,288,44.55,12.95,30.169
twins_svt_base,224,56.07,8.59,30.173
deit3_base_patch16_224,224,86.59,17.58,30.189
legacy_seresnet101,224,49.33,7.61,30.217
regnetz_040,320,27.12,6.35,30.4
resnetv2_50x1_bit,224,25.55,4.23,30.406
vit_base_resnet50d_224,224,110.97,8.73,30.408
vit_base_patch16_rpn_224,224,86.54,17.49,30.438
poolformerv2_m36,224,56.08,8.81,30.47
tf_efficientnetv2_s,384,21.46,8.44,30.552
mobilenetv4_conv_aa_large,544,32.59,14.19,30.598
vit_base_patch16_siglip_224,224,92.88,17.73,30.616
mixnet_xl,224,11.9,0.93,30.656
selecsls60b,224,32.77,3.63,30.659
mvitv2_small,224,34.87,7.0,30.68
vit_small_patch16_384,384,22.2,15.52,30.711
caformer_s36,224,39.3,8.0,30.726
tnt_b_patch16_224,224,65.41,14.09,30.728
vitamin_small_224,224,22.03,5.92,30.744
nf_resnet50,288,25.56,6.88,30.752
hgnetv2_b5,288,39.57,10.84,30.76
deit_base_distilled_patch16_224,224,87.34,17.68,30.788
vit_base_patch16_clip_quickgelu_224,224,86.19,17.58,30.79
vit_base_patch16_224,224,86.57,17.58,30.879
convnextv2_tiny,384,28.64,13.14,30.975
cs3sedarknet_x,256,35.4,8.38,30.981
hiera_base_plus_224,224,69.9,12.67,31.003
seresnet101,224,49.33,7.84,31.014
poolformer_m36,224,56.17,8.8,31.046
nest_small,224,38.35,10.35,31.17
vit_base_patch16_clip_224,224,86.57,17.58,31.165
convnextv2_small,224,50.32,8.71,31.176
efficientnetv2_s,384,21.46,8.44,31.19
beitv2_base_patch16_224,224,86.53,17.58,31.292
pit_b_224,224,73.76,12.42,31.326
resnet152,176,60.19,7.22,31.385
deit_base_patch16_224,224,86.57,17.58,31.396
xcit_small_12_p16_384,384,26.25,14.14,31.426
vit_base_patch16_224_miil,224,94.4,17.59,31.443
efficientvit_l2,288,63.71,11.51,31.475
cspdarknet53,256,27.64,6.57,31.496
fastvit_sa36,256,31.53,5.64,31.513
efficientformerv2_l,224,26.32,2.59,31.575
cs3edgenet_x,256,47.82,11.53,31.583
vit_base_mci_224,224,86.35,17.73,31.632
efficientnet_b4,384,19.34,4.51,31.668
nest_small_jx,224,38.35,10.35,31.779
vit_base_patch32_clip_448,448,88.34,17.93,31.814
beit_base_patch16_224,224,86.53,17.58,31.831
nf_regnet_b4,320,30.21,3.29,31.841
efficientnet_b3_g8_gn,320,14.25,3.2,31.853
dpn98,224,61.57,11.73,31.872
nfnet_l0,288,35.07,7.13,31.893
selecsls42b,224,32.46,2.98,31.933
vit_relpos_base_patch16_224,224,86.43,17.51,31.976
efficientformer_l7,224,82.23,10.17,32.009
vit_relpos_base_patch16_rpn_224,224,86.41,17.51,32.049
efficientnetv2_rw_s,384,23.94,8.72,32.062
regnetz_d8,320,23.37,6.19,32.1
resnetaa101d,288,44.57,15.07,32.202
repvit_m2_3,224,23.69,4.57,32.413
hiera_base_abswin_256,256,51.27,12.46,32.449
pit_b_distilled_224,224,74.79,12.5,32.611
regnetz_d8_evos,320,23.46,7.03,32.621
resnetv2_50d_gn,288,25.57,7.24,32.672
tf_efficientnet_b4,380,19.34,4.49,32.765
inception_next_small,224,49.37,8.36,32.862
pvt_v2_b2,224,25.36,4.05,32.925
eva02_small_patch14_336,336,22.13,15.48,33.0
resnetblur101d,288,44.57,15.07,33.271
vit_base_r26_s32_224,224,101.38,6.81,33.321
resnext101_32x8d,176,88.79,10.33,33.513
repvgg_b1,224,57.42,13.16,33.688
resnetv2_50d_evos,288,25.59,7.15,33.713
tresnet_v2_l,224,46.17,8.85,33.773
gcvit_tiny,224,28.22,4.79,33.891
resnet101d,320,44.57,16.48,34.011
flexivit_base,240,86.59,20.29,34.08
regnetz_d32,320,27.58,9.33,34.088
resnetv2_101,288,44.54,12.94,34.106
mobilenetv4_hybrid_large,448,37.76,10.74,34.151
ecaresnet101d,288,44.57,13.35,34.285
samvit_base_patch16_224,224,86.46,17.54,34.296
res2net50_26w_8s,224,48.4,8.37,34.384
seresnext101_32x4d,288,48.96,13.25,34.449
resnet152c,224,60.21,11.8,34.452
coatnet_1_rw_224,224,41.72,8.04,34.585
fastvit_ma36,256,44.07,7.88,34.79
res2net101_26w_4s,224,45.21,8.1,34.8
xcit_small_24_p16_224,224,47.67,9.1,34.804
tresnet_l,224,55.99,10.9,34.917
fastvit_mci1,256,21.54,4.72,34.943
nf_regnet_b4,384,30.21,4.7,34.992
mvitv2_small_cls,224,34.87,7.04,35.066
dla169,224,53.39,11.6,35.101
ese_vovnet99b,224,63.2,16.51,35.103
cs3sedarknet_x,288,35.4,10.6,35.337
xception65p,299,39.82,13.91,35.414
cs3edgenet_x,288,47.82,14.59,35.519
res2net101d,224,45.23,8.35,35.527
xception65,299,39.92,13.96,35.573
twins_pcpvt_large,224,60.99,9.84,35.609
resnet152,224,60.19,11.56,35.749
vit_base_patch16_siglip_gap_256,256,85.84,23.13,35.78
regnety_120,288,51.82,20.06,35.806
volo_d2_224,224,58.68,14.34,35.98
cait_s24_224,224,46.92,9.35,36.167
regnetz_e8,256,57.7,9.91,36.301
coatnet_rmlp_1_rw_224,224,41.69,7.85,36.312
resnet152d,224,60.21,11.8,36.603
resnetv2_152,224,60.19,11.55,36.685
cs3se_edgenet_x,256,50.72,11.53,36.716
regnety_160,224,83.59,15.96,36.857
resnet152d,256,60.21,15.41,36.874
seresnet101,288,49.33,12.95,36.999
resnet152s,224,60.32,12.92,37.185
vit_small_patch16_36x1_224,224,64.67,13.71,37.464
resnetv2_152d,224,60.2,11.8,37.494
resnest101e,256,48.28,13.38,37.508
vit_base_patch16_siglip_256,256,92.93,23.44,37.619
coatnet_rmlp_1_rw2_224,224,41.72,8.11,37.661
resnext101_64x4d,224,83.46,15.52,37.681
davit_small,224,49.75,8.8,37.776
eva02_base_patch16_clip_224,224,86.26,17.62,37.819
convnext_tiny_hnf,288,28.59,7.39,37.908
vit_small_patch16_18x2_224,224,64.67,13.71,37.946
xcit_tiny_12_p8_384,384,6.71,14.13,37.947
swinv2_cr_small_224,224,49.7,9.07,38.042
levit_384_s8,224,39.12,9.98,38.061
convmixer_768_32,224,21.11,19.55,38.075
nextvit_large,224,57.87,10.78,38.123
coatnet_1_224,224,42.23,8.7,38.229
fastvit_mci2,256,35.82,7.91,38.263
tresnet_m,448,31.39,22.99,38.285
resnetrs101,288,63.62,13.56,38.57
gmlp_b16_224,224,73.08,15.78,38.602
vit_base_patch16_rope_reg1_gap_256,256,86.43,23.22,38.851
vit_small_r26_s32_384,384,36.47,10.43,38.852
maxxvit_rmlp_tiny_rw_256,256,29.64,6.66,38.943
poolformerv2_m48,224,73.35,11.59,38.971
swinv2_tiny_window16_256,256,28.35,6.68,38.993
mixnet_xxl,224,23.96,2.04,38.998
vit_base_patch16_reg4_gap_256,256,86.62,23.5,39.177
densenet201,224,20.01,4.34,39.186
inception_v4,299,42.68,12.28,39.242
swinv2_cr_small_ns_224,224,49.7,9.08,39.297
xception71,299,42.34,18.09,39.425
maxvit_tiny_tf_224,224,30.92,5.6,39.689
levit_conv_384_s8,224,39.12,9.98,39.74
resnext101_32x8d,224,88.79,16.48,39.747
nextvit_small,384,31.76,17.26,39.772
focalnet_small_srf,224,49.89,8.62,39.79
poolformer_m48,224,73.47,11.59,39.907
xcit_small_12_p8_224,224,26.21,18.69,40.001
wide_resnet50_2,176,68.88,7.29,40.508
rdnet_tiny,224,23.86,5.06,40.632
swin_small_patch4_window7_224,224,49.61,8.77,41.189
convnext_small,288,50.22,14.39,41.261
gcvit_small,224,51.09,8.57,41.299
convnext_base,224,88.59,15.38,41.474
convit_base,224,86.54,17.52,41.536
hrnet_w18,224,21.3,4.32,41.579
hrnet_w18_ssld,224,21.3,4.32,41.615
densenet161,224,28.68,7.79,41.894
crossvit_base_240,240,105.03,21.22,42.099
hgnet_base,224,71.58,25.14,42.176
coat_tiny,224,5.5,4.35,42.24
resnet200,224,64.67,15.07,42.283
resnet50x4_clip_gap,288,65.62,19.57,42.37
efficientvit_l2,384,63.71,20.45,42.516
mobilevitv2_200,384,18.45,16.24,42.518
dpn131,224,79.25,16.09,42.662
resnet152,288,60.19,19.11,42.887
repvgg_b2g4,224,61.76,12.63,43.162
legacy_seresnet152,224,66.82,11.33,43.193
convnextv2_nano,384,15.62,7.22,43.219
seresnext101_64x4d,224,88.23,15.53,43.257
inception_next_base,224,86.67,14.85,43.362
tresnet_xl,224,78.44,15.2,43.371
vit_mediumd_patch16_reg4_gap_256,256,64.11,17.87,43.371
pvt_v2_b3,224,45.24,6.92,43.665
efficientnetv2_m,320,54.14,11.01,43.798
mixer_l32_224,224,206.94,11.27,43.842
mvitv2_base,224,51.47,10.16,43.856
seresnet152,224,66.82,11.57,43.995
vit_mediumd_patch16_rope_reg1_gap_256,256,63.95,17.65,43.992
rdnet_small,224,50.44,8.74,44.268
coat_lite_medium,224,44.57,9.81,44.36
selecsls84,224,50.95,5.9,44.46
maxvit_rmlp_small_rw_224,224,64.9,10.75,44.485
vit_small_patch8_224,224,21.67,22.44,44.574
nest_base,224,67.72,17.96,44.608
resnet50x4_clip,288,87.14,21.35,44.73
hgnetv2_b6,224,75.26,16.88,45.009
seresnext101d_32x8d,224,93.59,16.72,45.016
dm_nfnet_f0,192,71.49,7.21,45.211
convformer_s18,384,26.77,11.63,45.339
seresnext101_32x8d,224,93.57,16.48,45.513
nest_base_jx,224,67.72,17.96,45.587
efficientnetv2_rw_m,320,53.24,12.72,45.609
volo_d1_384,384,26.78,22.75,45.726
nfnet_f0,192,71.49,7.21,45.824
convnextv2_base,224,88.72,15.38,45.952
seresnextaa101d_32x8d,224,93.59,17.25,46.028
crossvit_15_dagger_408,408,28.5,21.45,46.27
cs3se_edgenet_x,320,50.72,18.01,46.387
convformer_s36,224,40.01,7.67,46.433
resnet200d,256,64.69,20.0,46.442
eva02_base_patch14_224,224,85.76,23.22,46.75
wide_resnet50_2,224,68.88,11.43,46.783
nextvit_base,384,44.82,24.64,46.935
vit_medium_patch16_gap_384,384,39.03,26.08,47.294
inception_resnet_v2,299,55.84,13.18,47.499
resnet152d,320,60.21,24.08,47.565
coat_mini,224,10.34,6.82,47.779
maxvit_small_tf_224,224,68.93,11.66,47.786
dpn107,224,86.92,18.38,48.078
seresnet152d,256,66.84,15.42,48.221
nf_resnet101,224,44.55,8.01,48.421
resnext101_64x4d,288,83.46,25.66,48.413
efficientnet_b5,416,30.39,8.27,48.433
regnety_160,288,83.59,26.37,48.586
swin_s3_base_224,224,71.13,13.69,48.567
twins_svt_large,224,99.27,15.15,48.661
resnetrs152,256,86.62,15.59,48.776
convnext_small,384,50.22,25.58,49.064
maxvit_rmlp_small_rw_256,256,64.9,14.15,49.32
caformer_m36,224,56.2,13.29,49.536
convnext_base,256,88.59,20.09,49.55
vit_base_patch16_plus_240,240,117.56,27.41,49.813
eca_nfnet_l1,256,41.41,9.62,49.994
swin_s3_small_224,224,49.74,9.43,50.262
nf_ecaresnet101,224,44.55,8.01,50.439
caformer_s18,384,26.34,13.42,50.571
focalnet_small_lrf,224,50.34,8.74,50.604
maxxvit_rmlp_small_rw_256,256,66.01,14.67,50.614
xcit_medium_24_p16_224,224,84.4,16.13,50.699
swinv2_cr_small_ns_256,256,49.7,12.07,50.722
mvitv2_base_cls,224,65.44,10.23,50.895
hrnet_w30,224,37.71,8.15,51.098
coatnet_2_rw_224,224,73.87,15.09,51.344
hrnet_w18_ssld,288,21.3,7.14,51.495
tf_efficientnetv2_m,384,54.14,15.85,51.774
regnetz_e8,320,57.7,15.46,51.793
nf_regnet_b5,384,49.74,7.95,51.987
swinv2_base_window12_192,192,109.28,11.9,52.03
nf_seresnet101,224,49.33,8.02,52.086
regnetx_320,224,107.81,31.81,52.125
nfnet_f0,256,71.49,12.62,52.324
seresnet152,288,66.82,19.11,52.306
davit_base,224,87.95,15.51,52.571
swinv2_small_window8_256,256,49.73,11.58,52.909
dm_nfnet_f0,256,71.49,12.62,53.19
efficientnet_b5,448,30.39,9.59,53.255
coatnet_rmlp_2_rw_224,224,73.88,15.18,53.333
volo_d3_224,224,86.33,20.78,53.399
resnet200,288,64.67,24.91,53.473
wide_resnet50_2,288,68.88,18.89,53.49
vit_base_r50_s16_224,224,97.89,21.66,54.07
coatnet_2_224,224,74.68,16.5,54.691
hrnet_w32,224,41.23,8.97,54.761
swinv2_cr_base_ns_224,224,87.88,15.86,54.78
vit_relpos_base_patch16_plus_240,240,117.38,27.3,54.9
swinv2_cr_base_224,224,87.88,15.86,54.931
focalnet_base_srf,224,88.15,15.28,54.982
ecaresnet200d,256,64.69,20.0,55.035
repvgg_b2,224,89.02,20.45,55.29
tiny_vit_21m_384,384,21.23,13.77,55.611
efficientnetv2_m,416,54.14,18.6,55.989
hrnet_w40,224,57.56,12.75,56.196
coat_small,224,21.69,12.61,56.75
vit_large_patch32_224,224,305.51,15.39,56.779
hgnetv2_b6,288,75.26,27.9,56.947
seresnext101_32x8d,288,93.57,27.24,57.125
tf_efficientnet_b5,456,30.39,10.46,57.469
seresnet152d,320,66.84,24.09,57.723
vitamin_base_224,224,87.72,22.68,57.813
convformer_m36,224,57.05,12.89,57.916
hgnet_base,288,71.58,41.55,58.0
seresnext101d_32x8d,288,93.59,27.64,57.996
swin_base_patch4_window7_224,224,87.77,15.47,57.978
resnet200d,320,64.69,31.25,58.078
hrnet_w44,224,67.06,14.94,58.441
focalnet_base_lrf,224,88.75,15.43,58.67
resnetrs200,256,93.21,20.18,58.853
eca_nfnet_l1,320,41.41,14.92,58.934
hrnet_w48,224,77.47,17.34,58.95
xcit_small_24_p16_384,384,47.67,26.72,58.995
resnetv2_101x1_bit,224,44.54,8.04,59.048
resnetrs152,320,86.62,24.34,59.196
efficientnetv2_rw_m,416,53.24,21.49,59.388
nf_regnet_b5,456,49.74,11.7,59.666
seresnextaa101d_32x8d,288,93.59,28.51,59.837
rdnet_base,224,87.45,15.4,60.076
repvgg_b3g4,224,83.83,17.89,60.126
caformer_b36,224,98.75,23.22,60.287
pvt_v2_b5,224,81.96,11.76,60.633
cait_xxs24_384,384,12.03,9.63,60.75
levit_512_s8,224,74.05,21.82,61.358
seresnet200d,256,71.86,20.01,61.47
wide_resnet101_2,176,126.89,14.31,62.057
ecaresnet200d,288,64.69,25.31,62.085
crossvit_18_dagger_408,408,44.61,32.47,62.198
hrnet_w48_ssld,224,77.47,17.34,62.552
levit_conv_512_s8,224,74.05,21.82,62.68
pvt_v2_b4,224,62.56,10.14,63.01
sequencer2d_s,224,27.65,4.96,63.013
swinv2_small_window16_256,256,49.73,12.82,63.865
tf_efficientnetv2_m,480,54.14,24.76,65.703
vit_so150m_patch16_reg4_gap_256,256,134.13,36.75,65.83
xcit_tiny_24_p8_384,384,12.11,27.05,66.387
gcvit_base,224,90.32,14.87,66.505
nextvit_large,384,57.87,32.03,66.911
resnetv2_50x1_bit,448,25.55,16.62,66.918
convnext_base,288,88.59,25.43,67.143
convnext_large,224,197.77,34.4,67.358
vit_so150m_patch16_reg4_map_256,256,141.48,37.18,67.502
tresnet_l,448,55.99,43.59,68.089
swinv2_base_window8_256,256,87.92,20.37,68.146
seresnet200d,288,71.86,25.32,68.758
wide_resnet101_2,224,126.89,22.8,69.613
regnety_160,384,83.59,46.87,70.348
resnetrs200,320,93.21,31.51,71.74
xcit_small_24_p8_224,224,47.63,35.81,71.707
seresnextaa101d_32x8d,320,93.59,35.19,71.842
halonet_h1,256,8.1,3.0,72.256
maxxvitv2_rmlp_base_rw_224,224,116.09,24.2,72.456
convnextv2_large,224,197.96,34.4,72.793
convmixer_1536_20,224,51.63,48.68,73.944
convnextv2_base,288,88.72,25.43,74.189
xcit_large_24_p16_224,224,189.1,35.86,74.599
regnety_320,224,145.05,32.34,74.754
convformer_s36,384,40.01,22.54,75.368
hrnet_w48_ssld,288,77.47,28.66,76.002
vit_mediumd_patch16_reg4_gap_384,384,64.27,43.67,76.816
densenet264d,224,72.74,13.57,77.785
convformer_b36,224,99.88,22.69,78.579
resnetrs270,256,129.86,27.06,78.863
swinv2_large_window12_192,192,228.77,26.17,79.45
senet154,224,115.09,20.77,79.75
convnext_large_mlp,256,200.13,44.94,80.005
legacy_senet154,224,115.09,20.77,80.273
sequencer2d_m,224,38.31,6.55,80.32
caformer_s36,384,39.3,26.08,81.111
repvgg_b3,224,123.09,29.16,81.31
convnext_base,320,88.59,31.39,81.433
vit_betwixt_patch16_reg4_gap_384,384,60.6,39.71,81.549
resnest200e,320,70.2,35.69,81.771
vit_large_r50_s32_224,224,328.99,19.58,81.984
davit_large,224,196.81,34.6,82.125
eca_nfnet_l2,320,56.72,20.95,82.312
hiera_large_224,224,213.74,40.34,82.309
inception_next_base,384,86.67,43.64,82.668
efficientvit_l3,224,246.04,27.62,83.006
hrnet_w64,224,128.06,28.97,83.453
swinv2_cr_large_224,224,196.68,35.1,83.698
convnext_base,384,88.59,45.21,83.813
vit_small_patch14_dinov2,518,22.06,46.76,83.943
seresnet269d,256,113.67,26.59,84.4
vit_small_patch14_reg4_dinov2,518,22.06,46.95,84.751
volo_d4_224,224,192.96,44.34,84.966
swin_large_patch4_window7_224,224,196.53,34.53,86.078
dm_nfnet_f1,224,132.63,17.87,86.756
maxvit_rmlp_base_rw_224,224,116.14,23.15,87.018
vit_base_patch16_18x2_224,224,256.73,52.51,87.257
nfnet_f1,224,132.63,17.87,87.745
vit_base_patch16_siglip_gap_384,384,86.09,55.43,87.936
deit_base_distilled_patch16_384,384,87.63,55.65,88.072
swinv2_base_window12to16_192to256,256,87.92,22.02,88.242
tf_efficientnetv2_l,384,118.52,36.1,88.232
